發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月14日 15時05分46秒,花蓮縣秀林鄉和平村和平路83之1號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.747784,24.308947
110年01月14日 16時39分10秒,新竹縣尖石鄉嘉樂村3鄰嘉樂路179-6號前0.0公尺附近,死亡1;受傷0,自用-小客車;營業用-大貨車,121.211806,24.705057
110年01月14日 16時43分00秒,臺中市東區近東英六街,死亡1;受傷0,普通重型-機車,120.710303,24.139932
110年01月14日 17時55分00秒,臺南市善化區南關里三民路口 / 臺南市善化區南關里永安路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.287805,23.129519
110年01月14日 19時45分00秒,新北市板橋區新北市板橋區堤外機車專用道路與堤外機車專用道路(浮洲橫移門),死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.469820,25.036062
110年01月15日 04時05分00秒,臺南市歸仁區中正北路2段124號南側,死亡1;受傷0,普通重型-機車,120.293608,22.981622
110年01月15日 06時50分00秒,彰化縣伸港鄉溪底村濱海路 / 彰化縣伸港鄉溪底村工五路,死亡1;受傷0,普通重型-機車;自用-大貨車,120.514398,24.167575
110年01月15日 07時37分00秒,新北市中和區新北市中和區中正路64巷,死亡1;受傷0,普通重型-機車;民營公車-大客車,121.501224,24.993962
110年01月15日 08時40分00秒,新北市三峽區新北市三峽區介壽路3段115號,死亡1;受傷0,自用-小客車,121.399058,24.942261
110年01月15日 13時56分00秒,雲林縣褒忠鄉田洋村田洋80電桿前,死亡1;受傷0,普通重型-機車,120.309368,23.721012
110年01月15日 19時12分00秒,桃園市中壢區中山東路3段106號前0.0公尺附近,死亡1;受傷0,行人-人;營業用-大貨車,121.248138,24.944359
110年01月15日 20時15分00秒,新竹縣竹東鎮中興路一段270號前,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,121.069543,24.756867
110年01月15日 23時30分00秒,桃園市中壢區培英路口 / 桃園市中壢區育英路口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,121.224837,24.973751
110年01月16日 07時32分00秒,臺中市龍井區龍泉里沙田路5段315巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.543621,24.202581
110年01月16日 08時53分27秒,桃園市大園區中山南路2段379號前0.0公尺,死亡1;受傷0,普通重型-機車,121.213342,25.026811
110年01月16日 10時30分48秒,雲林縣北港鎮樹腳里大同路(路燈編號112625前),死亡1;受傷0,普通重型-機車,120.276445,23.579726
110年01月16日 10時47分00秒,高雄市岡山區介壽西路前 / 高雄市岡山區通校路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,120.281357,22.784276
